Year,Country,City,Berlin_avg_temp,Global_avg_temp,Berlin_moving_avg,Global_moving_average
1750,Germany,Berlin,9.83,8.72,,
1751,Germany,Berlin,9.75,7.98,,
1752,Germany,Berlin,4.84,5.78,,
1753,Germany,Berlin,8.72,8.39,,
1754,Germany,Berlin,8.49,8.47,,
1755,Germany,Berlin,8.26,8.36,,
1756,Germany,Berlin,9.62,8.85,,
1757,Germany,Berlin,9.15,9.02,,
1758,Germany,Berlin,8.25,6.74,,
1759,Germany,Berlin,9.04,7.99,8.60,8.03
1760,Germany,Berlin,8.99,7.19,8.51,7.88
1761,Germany,Berlin,9.47,8.77,8.48,7.96
1762,Germany,Berlin,8.53,8.61,8.85,8.24
1763,Germany,Berlin,8.62,7.5,8.84,8.15
1764,Germany,Berlin,8.91,8.4,8.88,8.14
1765,Germany,Berlin,8.54,8.25,8.91,8.13
1766,Germany,Berlin,8.87,8.41,8.84,8.09
1767,Germany,Berlin,8.14,8.22,8.74,8.01
1768,Germany,Berlin,8.03,6.78,8.71,8.01
1769,Germany,Berlin,8.46,7.69,8.66,7.98
1770,Germany,Berlin,8.5,7.69,8.61,8.03
1771,Germany,Berlin,7.45,7.85,8.41,7.94
1772,Germany,Berlin,9.13,8.19,8.47,7.90
1773,Germany,Berlin,9.52,8.22,8.56,7.97
1774,Germany,Berlin,8.46,8.77,8.51,8.01
1775,Germany,Berlin,10.1,9.18,8.67,8.10
1776,Germany,Berlin,8.36,8.3,8.62,8.09
1777,Germany,Berlin,8.29,8.26,8.63,8.09
1778,Germany,Berlin,9.43,8.54,8.77,8.27
1779,Germany,Berlin,10.47,8.98,8.97,8.40
1780,Germany,Berlin,8.78,9.43,9.00,8.57
1781,Germany,Berlin,9.98,8.1,9.25,8.60
1782,Germany,Berlin,8.61,7.9,9.20,8.57
1783,Germany,Berlin,9.76,7.68,9.22,8.51
1784,Germany,Berlin,7.67,7.86,9.15,8.42
1785,Germany,Berlin,7.42,7.36,8.88,8.24
1786,Germany,Berlin,7.68,8.26,8.81,8.24
1787,Germany,Berlin,9.27,8.03,8.91,8.21
1788,Germany,Berlin,8.33,8.45,8.80,8.21
1789,Germany,Berlin,8.99,8.33,8.65,8.14
1790,Germany,Berlin,9.09,7.98,8.68,8.00
1791,Germany,Berlin,9.55,8.23,8.64,8.01
1792,Germany,Berlin,8.9,8.09,8.67,8.03
1793,Germany,Berlin,9.18,8.23,8.61,8.08
1794,Germany,Berlin,10.02,8.53,8.84,8.15
1795,Germany,Berlin,8.87,8.35,8.99,8.25
1796,Germany,Berlin,9.01,8.27,9.12,8.25
1797,Germany,Berlin,10.07,8.51,9.20,8.30
1798,Germany,Berlin,9.33,8.67,9.30,8.32
1799,Germany,Berlin,6.72,8.51,9.07,8.34
1800,Germany,Berlin,8.6,8.48,9.03,8.39
1801,Germany,Berlin,9.61,8.59,9.03,8.42
1802,Germany,Berlin,9.08,8.58,9.05,8.47
1803,Germany,Berlin,8.02,8.5,8.93,8.50
1804,Germany,Berlin,8.36,8.84,8.77,8.53
1805,Germany,Berlin,7.2,8.56,8.60,8.55
1806,Germany,Berlin,9.67,8.43,8.67,8.57
1807,Germany,Berlin,9.42,8.28,8.60,8.54
1808,Germany,Berlin,8.15,7.63,8.48,8.44
1809,Germany,Berlin,8.66,7.08,8.68,8.30
1810,Germany,Berlin,8.46,6.92,8.66,8.14
1811,Germany,Berlin,9.93,6.86,8.70,7.97
1812,Germany,Berlin,7.35,7.05,8.52,7.82
1813,Germany,Berlin,8.66,7.74,8.59,7.74
1814,Germany,Berlin,7.46,7.59,8.50,7.61
1815,Germany,Berlin,8.38,7.24,8.61,7.48
1816,Germany,Berlin,7.75,6.94,8.42,7.33
1817,Germany,Berlin,8.92,6.98,8.37,7.20
1818,Germany,Berlin,9,7.83,8.46,7.22
1819,Germany,Berlin,9.43,7.37,8.53,7.25
1820,Germany,Berlin,7.86,7.62,8.47,7.32
1821,Germany,Berlin,9.15,8.09,8.40,7.45
1822,Germany,Berlin,10.05,8.19,8.67,7.56
1823,Germany,Berlin,8.26,7.72,8.63,7.56
1824,Germany,Berlin,9.61,8.55,8.84,7.65
1825,Germany,Berlin,9.32,8.39,8.94,7.77
1826,Germany,Berlin,9.35,8.36,9.10,7.91
1827,Germany,Berlin,8.99,8.81,9.10,8.09
1828,Germany,Berlin,8.94,8.17,9.10,8.13
1829,Germany,Berlin,6.52,7.94,8.81,8.18
1830,Germany,Berlin,8.08,8.52,8.83,8.27
1831,Germany,Berlin,8.93,7.64,8.81,8.23
1832,Germany,Berlin,8.34,7.45,8.63,8.16
1833,Germany,Berlin,8.89,8.01,8.70,8.18
1834,Germany,Berlin,10.4,8.15,8.78,8.14
1835,Germany,Berlin,8.81,7.39,8.73,8.04
1836,Germany,Berlin,8.88,7.7,8.68,7.98
1837,Germany,Berlin,8.12,7.38,8.59,7.84
1838,Germany,Berlin,6.98,7.51,8.40,7.77
1839,Germany,Berlin,8.63,7.63,8.61,7.74
1840,Germany,Berlin,7.74,7.8,8.57,7.67
1841,Germany,Berlin,9.06,7.69,8.59,7.67
1842,Germany,Berlin,8.51,8.02,8.60,7.73
1843,Germany,Berlin,9.18,8.17,8.63,7.74
1844,Germany,Berlin,7.85,7.65,8.38,7.69
1845,Germany,Berlin,7.92,7.85,8.29,7.74
